Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_A03001B_001,SE_A03001B_002,SE_A03001B_003,SE_A03001B_004,SE_A03001B_005,SE_A03001B_006,SE_A03001B_007,SE_A03001B_008,SE_A03001B_009,SE_A03001B_010,SE_A14016_001,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005
6037101110,14000US06037101110,Census Tract 1011.10,"Census Tract 1011.10, Los Angeles County, California",ca,140,0,ACSSF,3870,6,37,101110,829,647,25,0,28,0,100,29,519,251,35240,829,225,279,4207,679,916,1595,2612
6037101122,14000US06037101122,Census Tract 1011.22,"Census Tract 1011.22, Los Angeles County, California",ca,140,0,ACSSF,3871,6,37,101122,230,207,0,0,23,0,0,0,170,37,66939,230,106,53,3234,109,152,261,2973
6037101210,14000US06037101210,Census Tract 1012.10,"Census Tract 1012.10, Los Angeles County, California",ca,140,0,ACSSF,3872,6,37,101210,1984,1561,64,0,97,0,244,18,1141,664,29761,1984,482,866,6042,1994,1657,3651,2391
6037101220,14000US06037101220,Census Tract 1012.20,"Census Tract 1012.20, Los Angeles County, California",ca,140,0,ACSSF,3873,6,37,101220,823,603,12,0,78,0,99,31,510,175,32220,823,231,382,3497,524,1159,1683,1814
6037101300,14000US06037101300,Census Tract 1013,"Census Tract 1013, Los Angeles County, California",ca,140,0,ACSSF,3874,6,37,101300,167,142,0,0,15,0,0,10,142,10,,167,19,72,4250,391,534,925,3325
6037101400,14000US06037101400,Census Tract 1014,"Census Tract 1014, Los Angeles County, California",ca,140,0,ACSSF,3875,6,37,101400,424,313,0,0,60,0,51,0,224,140,,424,109,143,3839,321,744,1065,2774
6037102103,14000US06037102103,Census Tract 1021.03,"Census Tract 1021.03, Los Angeles County, California",ca,140,0,ACSSF,3876,6,37,102103,239,217,0,0,8,0,0,14,189,42,52321,239,47,97,1771,156,95,251,1520
6037102104,14000US06037102104,Census Tract 1021.04,"Census Tract 1021.04, Los Angeles County, California",ca,140,0,ACSSF,3877,6,37,102104,375,227,37,0,8,8,95,0,200,122,,375,87,174,3328,423,690,1113,2215
6037102105,14000US06037102105,Census Tract 1021.05,"Census Tract 1021.05, Los Angeles County, California",ca,140,0,ACSSF,3878,6,37,102105,293,145,10,8,12,0,91,27,53,183,47011,293,50,142,1857,322,488,810,1047
6037102107,14000US06037102107,Census Tract 1021.07,"Census Tract 1021.07, Los Angeles County, California",ca,140,0,ACSSF,3879,6,37,102107,335,267,42,0,0,0,26,0,107,186,53625,335,84,75,4215,332,801,1133,3082
6037103101,14000US06037103101,Census Tract 1031.01,"Census Tract 1031.01, Los Angeles County, California",ca,140,0,ACSSF,3880,6,37,103101,135,129,0,0,0,0,0,6,129,0,33250,135,36,76,2597,183,457,640,1957
6037103102,14000US06037103102,Census Tract 1031.02,"Census Tract 1031.02, Los Angeles County, California",ca,140,0,ACSSF,3881,6,37,103102,335,260,0,7,42,0,26,0,233,53,28988,335,118,60,4446,245,747,992,3454
6037103200,14000US06037103200,Census Tract 1032,"Census Tract 1032, Los Angeles County, California",ca,140,0,ACSSF,3882,6,37,103200,832,692,17,0,73,0,0,50,499,193,42218,832,195,136,6587,994,1212,2206,4381
